"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Terbaik","54701","22023","90002168","20162","4","4","4","4","4","1","4","4","4","4","199"
"Ibunya baik","54702","22023","90002168","20162","4","4","4","4","4","1","2","3","3","3","199"
"Cara mengajar ibu snagat baik, sangat ramah dalam mengajar","54703","22023","90002168","20162","4","4","4","4","4","1","3","3","3","3","199"
"Pulang lebih cepat dari yang lain","54707","22023","90002168","20162","4","4","4","4","4","1","2","4","4","4","199"
"Mengakhiri perkuliahan sesuai jadawal jangan melebihi jam","54708","22023","90002168","20162","3","3","3","3","3","1","2","3","3","3","199"
"Sering kososng","54728","22021","90001856","20162","3","3","3","3","3","3","3","3","3","3","199"
"Sering kososng","54729","22021","90001856","20162","3","3","3","3","3","3","3","3","3","3","199"
"Sering kososng","54730","22021","90001856","20162","2","2","2","2","2","2","2","2","2","2","199"
"Sering kososng","54731","22021","90001856","20162","4","4","3","4","4","3","4","4","4","4","199"
"Good Job","54732","22021","90001856","20162","4","4","4","4","4","4","4","4","4","4","199"
"Nice","54733","22021","90001856","20162","3","3","3","3","3","3","3","3","3","3","199"
"Semoga untuk kedepannya tidak ada yang bolong presensinya","54735","22021","90001856","20162","3","3","3","3","3","2","2","2","3","2","199"
"Lebih baik menjadi dosen yang bersahabat dengan mahasiswa, bukan seperti bos  !!!","54749","136","90001831","20162","1","1","1","1","2","1","1","1","2","1","199"
"Tidak ada toleransi","54753","136","90001831","20162","2","2","1","2","1","2","1","1","2","1","199"
"dalam menjelaskan lebih jelas lagi dan semangat","54777","353","90002242","20162","3","3","2","4","4","2","4","2","3","3","289"
"mohon lebih  tegas dan jelas lagi saat memberikan penjelasan","54789","353","90002234","20162","3","3","3","3","3","3","3","3","2","3","289"
"lebih baik lagi saat mengajar","54791","353","90002234","20162","3","2","2","3","4","2","2","2","3","3","289"
"tingkatkan cara mengjajar tanpa slide","54794","353","90002234","20162","3","4","3","4","4","3","3","3","3","4","289"
"terlalu cepat & kuran g jelas","54795","353","90002234","20162","3","3","3","3","3","3","3","3","3","3","289"
"jika memberikan contoh harap dibahas dengan jelas agar mudah dipahami","54803","353","90002234","20162","3","3","1","4","3","2","3","1","2","3","289"
"kalau menjelaskan alangkah baiknya jika diterangkan langsung bukan hanya lewat PPT saja, kerena kalau hanya lewat PPt susah dimengerti dan butuh penjelasan dan penjabaran","54804","353","90002234","20162","3","3","3","3","3","2","3","3","3","3","289"
"jangan terlalu spaneng dan serius dalam mengajar beri waktu untuk istirahat sehingga cara mengejarnya tidak meningkatkan minat belajar mahasiswa","54805","353","90002234","20162","3","2","2","2","3","2","2","2","3","2","289"
"jika mengajar tolong jangan hanya slide saja MTK itu harus dijelaskan secara rinci supaya mudah dipahmi","54806","353","90002234","20162","3","3","1","3","3","1","3","1","2","3","289"
"lebih memperhatikan mahasiswanya jangan hanya mengunakan slide","54807","353","90002234","20162","3","3","2","3","3","1","3","2","2","2","289"
"jangan hanya menjelesakan lewat slide dan contohnya tolong lebih jelas","54809","353","90002234","20162","3","2","2","3","3","1","2","1","3","3","289"
"lebih baik dijelaskan langsung mengunakan papan tulis karena jika di slide untuk makul MTK malah membuat bingung","54811","353","90002234","20162","3","3","2","2","2","2","3","1","2","2","289"
"jangan hanya menerangkan ditempat duduk. dan beri contoh yang banyak","54812","353","90002234","20162","3","3","2","2","3","2","3","2","2","2","289"
